gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000127914	AKAP9	A-kinase anchoring protein 9	7q21.2	protein_coding	30	969	3.10	660	16508	4.00	1094	271	24.77	95	8.68	37	Cancer Gene Census
ENSG00000153707	PTPRD	protein tyrosine phosphatase receptor type D	9p24.1, 9p23	protein_coding	30	969	3.10	767	16508	4.65	1094	174	15.90	261	23.86	32	Cancer Gene Census
ENSG00000129514	FOXA1	forkhead box A1	14q21.1	protein_coding	29	969	2.99	209	16508	1.27	1094	198	18.10	159	14.53	27	Cancer Gene Census
ENSG00000142208	AKT1	AKT serine/threonine kinase 1	14q32.33	protein_coding	28	969	2.89	176	16508	1.07	1094	129	11.79	220	20.11	5	Cancer Gene Census
ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	8q13.2	protein_coding	27	969	2.79	699	16508	4.23	1094	548	50.09	43	3.93	30	Cancer Gene Census
ENSG00000134250	NOTCH2	notch receptor 2	1p12	protein_coding	27	969	2.79	431	16508	2.61	1094	241	22.03	158	14.44	28	Cancer Gene Census
ENSG00000149311	ATM	ATM serine/threonine kinase	11q22.3	protein_coding	27	969	2.79	761	16508	4.61	1094	90	8.23	468	42.78	28	Cancer Gene Census
ENSG00000173821	RNF213	ring finger protein 213	17q25.3	protein_coding	27	969	2.79	759	16508	4.60	1094	352	32.18	132	12.07	31	Cancer Gene Census
ENSG00000067955	CBFB	core-binding factor subunit beta	16q22.1	protein_coding	26	969	2.68	85	16508	0.51	1094	89	8.14	608	55.58	25	Cancer Gene Census
ENSG00000085224	ATRX	ATRX chromatin remodeler	Xq21.1	protein_coding	26	969	2.68	817	16508	4.95	1094	0	0.00	0	0.00	37	Cancer Gene Census
ENSG00000139687	RB1	RB transcriptional corepressor 1	13q14.2	protein_coding	26	969	2.68	573	16508	3.47	1094	71	6.49	415	37.93	28	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	26	969	2.68	1444	16508	8.75	1094	53	4.84	312	28.52	30	Cancer Gene Census
ENSG00000012048	BRCA1	BRCA1 DNA repair associated	17q21.31	protein_coding	25	969	2.58	367	16508	2.22	1094	199	18.19	295	26.97	25	Cancer Gene Census
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	8q22.3	protein_coding	25	969	2.58	560	16508	3.39	1094	628	57.40	26	2.38	26	Cancer Gene Census
ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B	12q15	protein_coding	25	969	2.58	633	16508	3.83	1094	230	21.02	69	6.31	26	Cancer Gene Census
ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16p13.2	protein_coding	25	969	2.58	776	16508	4.70	1094	498	45.52	47	4.30	25	Cancer Gene Census
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein	1q31.1	protein_coding	24	969	2.48	464	16508	2.81	1094	764	69.84	17	1.55	25	Cancer Gene Census
ENSG00000139618	BRCA2	BRCA2 DNA repair associated	13q13.1	protein_coding	24	969	2.48	569	16508	3.45	1094	105	9.60	363	33.18	27	Cancer Gene Census
ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2	17q12	protein_coding	24	969	2.48	355	16508	2.15	1094	290	26.51	218	19.93	20	Cancer Gene Census
ENSG00000005339	CREBBP	CREB binding protein	16p13.3	protein_coding	23	969	2.37	777	16508	4.71	1094	488	44.61	59	5.39	25	Cancer Gene Census
ENSG00000049618	ARID1B	AT-rich interaction domain 1B	6q25.3	protein_coding	23	969	2.37	479	16508	2.90	1094	129	11.79	313	28.61	23	Cancer Gene Census
ENSG00000102974	CTCF	CCCTC-binding factor	16q22.1	protein_coding	23	969	2.37	419	16508	2.54	1094	89	8.14	612	55.94	23	Cancer Gene Census
ENSG00000196924	FLNA	filamin A	Xq28	protein_coding	23	969	2.37	590	16508	3.57	1094	0	0.00	0	0.00	27	Cancer Gene Census
ENSG00000198793	MTOR	mechanistic target of rapamycin kinase	1p36.22	protein_coding	23	969	2.37	517	16508	3.13	1094	61	5.58	360	32.91	24	Cancer Gene Census
ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3	12q13.2	protein_coding	22	969	2.27	381	16508	2.31	1094	176	16.09	105	9.60	21	Cancer Gene Census
ENSG00000140836	ZFHX3	zinc finger homeobox 3	16q22.2, 16q22.3	protein_coding	22	969	2.27	838	16508	5.08	1094	94	8.59	603	55.12	27	Cancer Gene Census
ENSG00000145113	MUC4	mucin 4, cell surface associated	3q29	protein_coding	22	969	2.27	637	16508	3.86	1094	283	25.87	62	5.67	22	Cancer Gene Census
ENSG00000196367	TRRAP	transformation/transcription domain associated protein	7q22.1	protein_coding	22	969	2.27	754	16508	4.57	1094	268	24.50	111	10.15	25	Cancer Gene Census
ENSG00000198173	FAM47C	family with sequence similarity 47 member C	Xp21.1	protein_coding	22	969	2.27	635	16508	3.85	1094	0	0.00	0	0.00	23	Cancer Gene Census
ENSG00000029534	ANK1	ankyrin 1	8p11.21	protein_coding	21	969	2.17	709	16508	4.29	1094	391	35.74	190	17.37	21	Cancer Gene Census
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6q22.1	protein_coding	20	969	2.06	611	16508	3.70	1094	152	13.89	289	26.42	20	Cancer Gene Census
ENSG00000147050	KDM6A	lysine demethylase 6A	Xp11.3	protein_coding	20	969	2.06	472	16508	2.86	1094	0	0.00	0	0.00	21	Cancer Gene Census
ENSG00000181555	SETD2	SET domain containing 2, histone lysine methyltransferase	3p21.31	protein_coding	20	969	2.06	636	16508	3.85	1094	82	7.50	269	24.59	23	Cancer Gene Census
ENSG00000067842	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	Xq28	protein_coding	19	969	1.96	429	16508	2.60	1094	0	0.00	0	0.00	19	Cancer Gene Census
ENSG00000156650	KAT6B	lysine acetyltransferase 6B	10q22.2	protein_coding	19	969	1.96	349	16508	2.11	1094	146	13.35	166	15.17	21	Cancer Gene Census
ENSG00000286522	H3C2	H3 clustered histone 2	6p22.2	protein_coding	19	969	1.96	137	16508	0.83	1094	255	23.31	116	10.60	18	Cancer Gene Census
ENSG00000064012	CASP8	caspase 8	2q33.1	protein_coding	18	969	1.86	320	16508	1.94	1094	119	10.88	157	14.35	18	Cancer Gene Census
ENSG00000130396	AFDN	afadin, adherens junction formation factor	6q27	protein_coding	18	969	1.86	419	16508	2.54	1094	129	11.79	314	28.70	23	Cancer Gene Census
ENSG00000133392	MYH11	myosin heavy chain 11	16p13.11	protein_coding	18	969	1.86	570	16508	3.45	1094	488	44.61	47	4.30	21	Cancer Gene Census
ENSG00000134982	APC	APC regulator of WNT signaling pathway	5q22.2	protein_coding	18	969	1.86	1082	16508	6.55	1094	159	14.53	198	18.10	28	Cancer Gene Census
ENSG00000144218	AFF3	AF4/FMR2 family member 3	2q11.2	protein_coding	18	969	1.86	443	16508	2.68	1094	131	11.97	128	11.70	18	Cancer Gene Census
ENSG00000153201	RANBP2	RAN binding protein 2	2q13	protein_coding	18	969	1.86	533	16508	3.23	1094	114	10.42	141	12.89	22	Cancer Gene Census
ENSG00000172915	NBEA	neurobeachin	13q13.3	protein_coding	18	969	1.86	704	16508	4.26	1094	104	9.51	373	34.10	20	Cancer Gene Census
ENSG00000187323	DCC	DCC netrin 1 receptor	18q21.2	protein_coding	18	969	1.86	750	16508	4.54	1094	136	12.43	286	26.14	18	Cancer Gene Census
ENSG00000198822	GRM3	glutamate metabotropic receptor 3	7q21.11, 7q21.12	protein_coding	18	969	1.86	532	16508	3.22	1094	269	24.59	96	8.78	18	Cancer Gene Census
ENSG00000041982	TNC	tenascin C	9q33.1	protein_coding	17	969	1.75	528	16508	3.20	1094	141	12.89	209	19.10	18	Cancer Gene Census
ENSG00000085185	BCORL1	BCL6 corepressor like 1	Xq26.1	protein_coding	17	969	1.75	517	16508	3.13	1094	0	0.00	0	0.00	17	Cancer Gene Census
ENSG00000100393	EP300	E1A binding protein p300	22q13.2	protein_coding	17	969	1.75	567	16508	3.43	1094	106	9.69	418	38.21	17	Cancer Gene Census
ENSG00000100503	NIN	ninein	14q22.1	protein_coding	17	969	1.75	385	16508	2.33	1094	180	16.45	175	16.00	20	Cancer Gene Census
ENSG00000101972	STAG2	stromal antigen 2	Xq25	protein_coding	17	969	1.75	400	16508	2.42	1094	0	0.00	0	0.00	19	Cancer Gene Census
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19p13.2	protein_coding	17	969	1.75	583	16508	3.53	1094	189	17.28	150	13.71	17	Cancer Gene Census
ENSG00000133124	IRS4	insulin receptor substrate 4	Xq22.3	protein_coding	17	969	1.75	459	16508	2.78	1094	0	0.00	0	0.00	17	Cancer Gene Census
ENSG00000138336	TET1	tet methylcytosine dioxygenase 1	10q21.3	protein_coding	17	969	1.75	452	16508	2.74	1094	129	11.79	176	16.09	22	Cancer Gene Census
ENSG00000147130	ZMYM3	zinc finger MYM-type containing 3	Xq13.1	protein_coding	17	969	1.75	323	16508	1.96	1094	0	0.00	0	0.00	17	Cancer Gene Census
ENSG00000147724	FAM135B	family with sequence similarity 135 member B	8q24.23	protein_coding	17	969	1.75	953	16508	5.77	1094	585	53.47	60	5.48	18	Cancer Gene Census
ENSG00000178104	PDE4DIP	phosphodiesterase 4D interacting protein	1q21.2	protein_coding	17	969	1.75	436	16508	2.64	1094	323	29.52	39	3.56	21	Cancer Gene Census
ENSG00000184675	AMER1	APC membrane recruitment protein 1	Xq11.2	protein_coding	17	969	1.75	431	16508	2.61	1094	0	0.00	0	0.00	17	Cancer Gene Census
ENSG00000198286	CARD11	caspase recruitment domain family member 11	7p22.2	protein_coding	17	969	1.75	485	16508	2.94	1094	302	27.61	96	8.78	17	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	16	969	1.65	670	16508	4.06	1094	158	14.44	113	10.33	15	Cancer Gene Census
ENSG00000100815	TRIP11	thyroid hormone receptor interactor 11	14q32.12	protein_coding	16	969	1.65	315	16508	1.91	1094	130	11.88	254	23.22	17	Cancer Gene Census
ENSG00000101343	CRNKL1	crooked neck pre-mRNA splicing factor 1	20p11.23	protein_coding	16	969	1.65	200	16508	1.21	1094	345	31.54	90	8.23	16	Cancer Gene Census
ENSG00000109670	FBXW7	F-box and WD repeat domain containing 7	4q31.3	protein_coding	16	969	1.65	657	16508	3.98	1094	101	9.23	259	23.67	15	Cancer Gene Census
ENSG00000115524	SF3B1	splicing factor 3b subunit 1	2q33.1	protein_coding	16	969	1.65	366	16508	2.22	1094	126	11.52	144	13.16	12	Cancer Gene Census
ENSG00000116128	BCL9	BCL9 transcription coactivator	1q21.2	protein_coding	16	969	1.65	340	16508	2.06	1094	348	31.81	28	2.56	17	Cancer Gene Census
ENSG00000118007	STAG1	stromal antigen 1	3q22.3	protein_coding	16	969	1.65	297	16508	1.80	1094	226	20.66	77	7.04	23	Cancer Gene Census
ENSG00000143379	SETDB1	SET domain bifurcated histone lysine methyltransferase 1	1q21.3	protein_coding	16	969	1.65	297	16508	1.80	1094	735	67.18	15	1.37	16	Cancer Gene Census
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	3p21.1	protein_coding	16	969	1.65	512	16508	3.10	1094	77	7.04	275	25.14	18	Cancer Gene Census
ENSG00000165671	NSD1	nuclear receptor binding SET domain protein 1	5q35.3	protein_coding	16	969	1.65	562	16508	3.40	1094	237	21.66	139	12.71	19	Cancer Gene Census
ENSG00000167258	CDK12	cyclin dependent kinase 12	17q12	protein_coding	16	969	1.65	371	16508	2.25	1094	286	26.14	227	20.75	18	Cancer Gene Census
ENSG00000174469	CNTNAP2	contactin associated protein 2	7q35, 7q36.1	protein_coding	16	969	1.65	819	16508	4.96	1094	251	22.94	136	12.43	16	Cancer Gene Census
ENSG00000175054	ATR	ATR serine/threonine kinase	3q23	protein_coding	16	969	1.65	496	16508	3.00	1094	240	21.94	70	6.40	19	Cancer Gene Census
ENSG00000051341	POLQ	DNA polymerase theta	3q13.33	protein_coding	15	969	1.55	530	16508	3.21	1094	195	17.82	89	8.14	15	Cancer Gene Census
ENSG00000073803	MAP3K13	mitogen-activated protein kinase kinase kinase 13	3q27.2	protein_coding	15	969	1.55	250	16508	1.51	1094	269	24.59	50	4.57	15	Cancer Gene Census
ENSG00000079102	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	8q21.3	protein_coding	15	969	1.55	513	16508	3.11	1094	616	56.31	25	2.29	15	Cancer Gene Census
ENSG00000082898	XPO1	exportin 1	2p15	protein_coding	15	969	1.55	197	16508	1.19	1094	180	16.45	107	9.78	18	Cancer Gene Census
ENSG00000143970	ASXL2	ASXL transcriptional regulator 2	2p23.3	protein_coding	15	969	1.55	343	16508	2.08	1094	157	14.35	140	12.80	18	Cancer Gene Census
ENSG00000146648	EGFR	epidermal growth factor receptor	7p11.2	protein_coding	15	969	1.55	660	16508	4.00	1094	300	27.42	55	5.03	14	Cancer Gene Census
ENSG00000171094	ALK	ALK receptor tyrosine kinase	2p23.2, 2p23.1	protein_coding	15	969	1.55	491	16508	2.97	1094	164	14.99	120	10.97	16	Cancer Gene Census
ENSG00000178568	ERBB4	erb-b2 receptor tyrosine kinase 4	2q34	protein_coding	15	969	1.55	673	16508	4.08	1094	110	10.05	168	15.36	16	Cancer Gene Census
ENSG00000182901	RGS7	regulator of G protein signaling 7	1q43	protein_coding	15	969	1.55	351	16508	2.13	1094	754	68.92	31	2.83	14	Cancer Gene Census
ENSG00000189079	ARID2	AT-rich interaction domain 2	12q12	protein_coding	15	969	1.55	529	16508	3.20	1094	175	16.00	99	9.05	16	Cancer Gene Census
ENSG00000197299	BLM	BLM RecQ like helicase	15q26.1	protein_coding	15	969	1.55	261	16508	1.58	1094	153	13.99	195	17.82	20	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	14	969	1.44	736	16508	4.46	1094	319	29.16	71	6.49	14	Cancer Gene Census
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	10q26.13	protein_coding	14	969	1.44	376	16508	2.28	1094	126	11.52	221	20.20	14	Cancer Gene Census
ENSG00000136492	BRIP1	BRCA1 interacting protein C-terminal helicase 1	17q23.2	protein_coding	14	969	1.44	275	16508	1.67	1094	389	35.56	113	10.33	15	Cancer Gene Census
ENSG00000169862	CTNND2	catenin delta 2	5p15.2	protein_coding	14	969	1.44	677	16508	4.10	1094	330	30.16	69	6.31	15	Cancer Gene Census
ENSG00000183337	BCOR	BCL6 corepressor	Xp11.4	protein_coding	14	969	1.44	492	16508	2.98	1094	0	0.00	0	0.00	15	Cancer Gene Census
ENSG00000085276	MECOM	MDS1 and EVI1 complex locus	3q26.2	protein_coding	13	969	1.34	444	16508	2.69	1094	299	27.33	44	4.02	14	Cancer Gene Census
ENSG00000087460	GNAS	GNAS complex locus	20q13.32	protein_coding	13	969	1.34	369	16508	2.24	1094	465	42.50	37	3.38	14	Cancer Gene Census
ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5	14q12	protein_coding	13	969	1.34	360	16508	2.18	1094	185	16.91	160	14.63	15	Cancer Gene Census
ENSG00000110713	NUP98	nucleoporin 98 and 96 precursor	11p15.4	protein_coding	13	969	1.34	327	16508	1.98	1094	135	12.34	231	21.12	14	Cancer Gene Census
ENSG00000114423	CBLB	Cbl proto-oncogene B	3q13.11	protein_coding	13	969	1.34	270	16508	1.64	1094	208	19.01	76	6.95	15	Cancer Gene Census
ENSG00000119397	CNTRL	centriolin	9q33.2	protein_coding	13	969	1.34	351	16508	2.13	1094	145	13.25	201	18.37	18	Cancer Gene Census
ENSG00000130779	CLIP1	CAP-Gly domain containing linker protein 1	12q24.31	protein_coding	13	969	1.34	266	16508	1.61	1094	163	14.90	157	14.35	15	Cancer Gene Census
ENSG00000135333	EPHA7	EPH receptor A7	6q16.1	protein_coding	13	969	1.34	422	16508	2.56	1094	151	13.80	318	29.07	13	Cancer Gene Census
ENSG00000156976	EIF4A2	eukaryotic translation initiation factor 4A2	3q27.3	protein_coding	13	969	1.34	205	16508	1.24	1094	280	25.59	57	5.21	15	Cancer Gene Census
ENSG00000165392	WRN	WRN RecQ like helicase	8p12	protein_coding	13	969	1.34	264	16508	1.60	1094	162	14.81	480	43.88	14	Cancer Gene Census
ENSG00000166501	PRKCB	protein kinase C beta	16p12.2, 16p12.1	protein_coding	13	969	1.34	348	16508	2.11	1094	486	44.42	54	4.94	14	Cancer Gene Census
ENSG00000172493	AFF1	AF4/FMR2 family member 1	4q21.3, 4q22.1	protein_coding	13	969	1.34	272	16508	1.65	1094	102	9.32	233	21.30	14	Cancer Gene Census
ENSG00000173575	CHD2	chromodomain helicase DNA binding protein 2	15q26.1	protein_coding	13	969	1.34	355	16508	2.15	1094	159	14.53	193	17.64	16	Cancer Gene Census
ENSG00000197535	MYO5A	myosin VA	15q21.2	protein_coding	13	969	1.34	366	16508	2.22	1094	85	7.77	254	23.22	13	Cancer Gene Census
ENSG00000072501	SMC1A	structural maintenance of chromosomes 1A	Xp11.22	protein_coding	12	969	1.24	269	16508	1.63	1094	0	0.00	0	0.00	14	Cancer Gene Census
ENSG00000073614	KDM5A	lysine demethylase 5A	12p13.33	protein_coding	12	969	1.24	360	16508	2.18	1094	51	4.66	23	2.10	13	Cancer Gene Census
ENSG00000077782	FGFR1	fibroblast growth factor receptor 1	8p11.23	protein_coding	12	969	1.24	234	16508	1.42	1094	375	34.28	234	21.39	13	Cancer Gene Census
ENSG00000078403	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	10p12.31	protein_coding	12	969	1.24	238	16508	1.44	1094	209	19.10	98	8.96	12	Cancer Gene Census
ENSG00000081237	PTPRC	protein tyrosine phosphatase receptor type C	1q31.3, 1q32.1	protein_coding	12	969	1.24	491	16508	2.97	1094	769	70.29	18	1.65	13	Cancer Gene Census
ENSG00000083168	KAT6A	lysine acetyltransferase 6A	8p11.21	protein_coding	12	969	1.24	419	16508	2.54	1094	390	35.65	187	17.09	12	Cancer Gene Census
ENSG00000091831	ESR1	estrogen receptor 1	6q25.1, 6q25.2	protein_coding	12	969	1.24	228	16508	1.38	1094	155	14.17	276	25.23	11	Cancer Gene Census
ENSG00000100697	DICER1	dicer 1, ribonuclease III	14q32.13	protein_coding	12	969	1.24	386	16508	2.34	1094	85	7.77	247	22.58	13	Cancer Gene Census
ENSG00000105639	JAK3	Janus kinase 3	19p13.11	protein_coding	12	969	1.24	281	16508	1.70	1094	211	19.29	122	11.15	14	Cancer Gene Census
ENSG00000113594	LIFR	LIF receptor subunit alpha	5p13.1	protein_coding	12	969	1.24	330	16508	2.00	1094	306	27.97	72	6.58	11	Cancer Gene Census
ENSG00000121741	ZMYM2	zinc finger MYM-type containing 2	13q12.11	protein_coding	12	969	1.24	290	16508	1.76	1094	102	9.32	345	31.54	14	Cancer Gene Census
ENSG00000121989	ACVR2A	activin A receptor type 2A	2q22.3, 2q23.1	protein_coding	12	969	1.24	377	16508	2.28	1094	93	8.50	177	16.18	10	Cancer Gene Census
ENSG00000137812	KNL1	kinetochore scaffold 1	15q15.1	protein_coding	12	969	1.24	333	16508	2.02	1094	57	5.21	291	26.60	12	Cancer Gene Census
ENSG00000141367	CLTC	clathrin heavy chain	17q23.1	protein_coding	12	969	1.24	301	16508	1.82	1094	393	35.92	113	10.33	15	Cancer Gene Census
ENSG00000147548	NSD3	nuclear receptor binding SET domain protein 3	8p11.23	protein_coding	12	969	1.24	297	16508	1.80	1094	375	34.28	237	21.66	14	Cancer Gene Census
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	protein_coding	12	969	1.24	269	16508	1.63	1094	754	68.92	14	1.28	12	Cancer Gene Census
ENSG00000163629	PTPN13	protein tyrosine phosphatase non-receptor type 13	4q21.3	protein_coding	12	969	1.24	445	16508	2.70	1094	102	9.32	234	21.39	17	Cancer Gene Census
ENSG00000171456	ASXL1	ASXL transcriptional regulator 1	20q11.21	protein_coding	12	969	1.24	405	16508	2.45	1094	388	35.47	47	4.30	17	Cancer Gene Census
ENSG00000177084	POLE	DNA polymerase epsilon, catalytic subunit	12q24.33	protein_coding	12	969	1.24	492	16508	2.98	1094	31	2.83	34	3.11	13	Cancer Gene Census
ENSG00000184384	MAML2	mastermind like transcriptional coactivator 2	11q21	protein_coding	12	969	1.24	256	16508	1.55	1094	116	10.60	402	36.75	12	Cancer Gene Census
ENSG00000185008	ROBO2	roundabout guidance receptor 2	3p12.3	protein_coding	12	969	1.24	670	16508	4.06	1094	103	9.41	224	20.48	13	Cancer Gene Census
ENSG00000185920	PTCH1	patched 1	9q22.32	protein_coding	12	969	1.24	388	16508	2.35	1094	132	12.07	225	20.57	13	Cancer Gene Census
ENSG00000196090	PTPRT	protein tyrosine phosphatase receptor type T	20q12, 20q13.11	protein_coding	12	969	1.24	812	16508	4.92	1094	397	36.29	51	4.66	15	Cancer Gene Census
ENSG00000257923	CUX1	cut like homeobox 1	7q22.1	protein_coding	12	969	1.24	491	16508	2.97	1094	257	23.49	122	11.15	12	Cancer Gene Census
ENSG00000015285	WAS	WASP actin nucleation promoting factor	Xp11.23	protein_coding	11	969	1.14	150	16508	0.91	1094	0	0.00	0	0.00	11	Cancer Gene Census
ENSG00000036257	CUL3	cullin 3	2q36.2	protein_coding	11	969	1.14	250	16508	1.51	1094	95	8.68	195	17.82	11	Cancer Gene Census
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	3q22.3	protein_coding	11	969	1.14	241	16508	1.46	1094	231	21.12	69	6.31	12	Cancer Gene Census
ENSG00000068323	TFE3	transcription factor binding to IGHM enhancer 3	Xp11.23	protein_coding	11	969	1.14	203	16508	1.23	1094	0	0.00	0	0.00	12	Cancer Gene Census
ENSG00000103197	TSC2	TSC complex subunit 2	16p13.3	protein_coding	11	969	1.14	389	16508	2.36	1094	502	45.89	53	4.84	11	Cancer Gene Census
ENSG00000108821	COL1A1	collagen type I alpha 1 chain	17q21.33	protein_coding	11	969	1.14	384	16508	2.33	1094	327	29.89	164	14.99	15	Cancer Gene Census
ENSG00000111276	CDKN1B	cyclin dependent kinase inhibitor 1B	12p13.1	protein_coding	11	969	1.14	125	16508	0.76	1094	195	17.82	154	14.08	13	Cancer Gene Census
ENSG00000113263	ITK	IL2 inducible T cell kinase	5q33.3	protein_coding	11	969	1.14	239	16508	1.45	1094	182	16.64	174	15.90	11	Cancer Gene Census
